RSSI,Timestamp
-38,14:21:35.208519
RSSI,Timestamp
-45,14:25:15.193015
RSSI,Timestamp
-46,14:25:15.198071
RSSI,Timestamp
-72,14:25:15.202370
RSSI,Timestamp
-45,14:25:15.206649
RSSI,Timestamp
-49,14:25:15.210866
RSSI,Timestamp
-50,14:25:15.215475
RSSI,Timestamp
-56,14:25:15.220104
RSSI,Timestamp
-41,14:25:15.224929
RSSI,Timestamp
-49,14:25:15.229478
RSSI,Timestamp
-45,14:25:15.234013
RSSI,Timestamp
-45,14:25:15.240925
RSSI,Timestamp
-49,14:25:15.246505
RSSI,Timestamp
-49,14:25:15.253959
RSSI,Timestamp
-36,14:25:15.278038
RSSI,Timestamp
-36,14:25:15.293442
RSSI,Timestamp
-36,14:25:15.304158
RSSI,Timestamp
-45,14:25:15.308991
RSSI,Timestamp
-50,14:25:15.313979
RSSI,Timestamp
-41,14:25:15.319258
RSSI,Timestamp
-50,14:25:15.323753
RSSI,Timestamp
-45,14:25:15.328563
RSSI,Timestamp
-45,14:25:15.332630
RSSI,Timestamp
-49,14:25:15.336846
RSSI,Timestamp
-49,14:25:15.341337
RSSI,Timestamp
-45,14:25:15.346101
RSSI,Timestamp
-50,14:25:15.350599
RSSI,Timestamp
-44,14:25:15.357301
RSSI,Timestamp
-56,14:25:15.363163
RSSI,Timestamp
-47,14:25:15.369736
RSSI,Timestamp
-36,14:25:15.388404
RSSI,Timestamp
-36,14:25:15.402263
RSSI,Timestamp
-38,14:25:15.411382
RSSI,Timestamp
-63,14:25:15.416853
RSSI,Timestamp
-47,14:25:15.422397
RSSI,Timestamp
-54,14:25:15.427961
RSSI,Timestamp
-49,14:25:15.432355
RSSI,Timestamp
-50,14:25:15.437385
RSSI,Timestamp
-42,14:25:15.442529
RSSI,Timestamp
-56,14:25:15.447217
RSSI,Timestamp
-57,14:25:15.452988
RSSI,Timestamp
-54,14:25:15.459766
RSSI,Timestamp
-50,14:25:15.465769
RSSI,Timestamp
-51,14:25:15.476178
RSSI,Timestamp
-56,14:25:15.481398
RSSI,Timestamp
-52,14:25:15.486462
RSSI,Timestamp
-44,14:25:15.490902
RSSI,Timestamp
-51,14:25:15.495909
RSSI,Timestamp
-52,14:25:15.502534
RSSI,Timestamp
-45,14:25:15.507538
RSSI,Timestamp
-47,14:25:15.512494
RSSI,Timestamp
-49,14:25:15.516187
RSSI,Timestamp
-51,14:25:15.520261
RSSI,Timestamp
-51,14:25:15.524825
RSSI,Timestamp
-51,14:25:15.529465
RSSI,Timestamp
-46,14:25:15.535839
RSSI,Timestamp
-46,14:25:15.541934
RSSI,Timestamp
-45,14:25:15.546264
RSSI,Timestamp
-50,14:25:15.550729
RSSI,Timestamp
-49,14:25:15.555660
RSSI,Timestamp
-45,14:25:15.560112
RSSI,Timestamp
-57,14:25:15.564572
RSSI,Timestamp
-49,14:25:15.568893
RSSI,Timestamp
-36,14:25:15.583566
RSSI,Timestamp
-36,14:25:15.598733
RSSI,Timestamp
-36,14:25:15.609997
RSSI,Timestamp
-54,14:25:15.614524
RSSI,Timestamp
-49,14:25:15.618484
RSSI,Timestamp
-50,14:25:15.622858
RSSI,Timestamp
-48,14:25:15.627356
RSSI,Timestamp
-51,14:25:15.631414
RSSI,Timestamp
-50,14:25:15.635408
RSSI,Timestamp
-51,14:25:15.639616
RSSI,Timestamp
-50,14:25:15.643840
RSSI,Timestamp
-64,14:25:15.649998
RSSI,Timestamp
-44,14:25:15.655688
RSSI,Timestamp
-47,14:25:15.662505
RSSI,Timestamp
-50,14:25:15.670172
RSSI,Timestamp
-50,14:25:15.677250
RSSI,Timestamp
-50,14:25:15.684108
RSSI,Timestamp
-53,14:25:15.690099
RSSI,Timestamp
-57,14:25:15.697032
RSSI,Timestamp
-51,14:25:15.701867
RSSI,Timestamp
-49,14:25:15.706689
RSSI,Timestamp
-51,14:25:15.713847
RSSI,Timestamp
-49,14:25:15.718379
RSSI,Timestamp
-52,14:25:15.722861
RSSI,Timestamp
-45,14:25:15.728941
RSSI,Timestamp
-49,14:25:15.734614
RSSI,Timestamp
-48,14:25:15.740910
RSSI,Timestamp
-42,14:25:15.747814
RSSI,Timestamp
-36,14:25:15.752418
RSSI,Timestamp
-34,14:25:15.756886
RSSI,Timestamp
-49,14:25:15.761768
RSSI,Timestamp
-48,14:25:15.766140
RSSI,Timestamp
-47,14:25:15.770082
RSSI,Timestamp
-50,14:25:15.774056
RSSI,Timestamp
-47,14:25:15.778428
RSSI,Timestamp
-49,14:25:15.782697
RSSI,Timestamp
-41,14:25:15.788875
RSSI,Timestamp
-38,14:25:15.794056
RSSI,Timestamp
-36,14:25:15.810680
RSSI,Timestamp
-36,14:25:15.827867
RSSI,Timestamp
-36,14:25:15.838975
RSSI,Timestamp
-48,14:25:15.846221
RSSI,Timestamp
-49,14:25:15.851844
RSSI,Timestamp
-48,14:25:15.856079
RSSI,Timestamp
-49,14:25:15.860854
RSSI,Timestamp
-47,14:25:15.864968
RSSI,Timestamp
-51,14:25:15.868832
RSSI,Timestamp
-49,14:25:15.873129
RSSI,Timestamp
-47,14:25:15.877518
RSSI,Timestamp
-49,14:25:15.881465
RSSI,Timestamp
-51,14:25:15.886965
RSSI,Timestamp
-51,14:25:15.892940
RSSI,Timestamp
-45,14:25:15.898187
RSSI,Timestamp
-51,14:25:15.902591
RSSI,Timestamp
-51,14:25:15.908605
RSSI,Timestamp
-46,14:25:15.914554
RSSI,Timestamp
-51,14:25:15.925661
RSSI,Timestamp
-49,14:25:15.930651
RSSI,Timestamp
-49,14:25:15.935639
RSSI,Timestamp
-41,14:25:15.941755
RSSI,Timestamp
-46,14:25:15.947982
RSSI,Timestamp
-46,14:25:15.952903
RSSI,Timestamp
-46,14:25:15.957688
RSSI,Timestamp
-46,14:25:15.962613
RSSI,Timestamp
-45,14:25:15.966632
RSSI,Timestamp
-50,14:25:15.970573
RSSI,Timestamp
-50,14:25:15.975027
RSSI,Timestamp
-47,14:25:15.979323
RSSI,Timestamp
-47,14:25:15.983536
RSSI,Timestamp
-42,14:25:15.991206
RSSI,Timestamp
-52,14:25:15.996661
RSSI,Timestamp
-47,14:25:16.001874
RSSI,Timestamp
-45,14:25:16.007819
RSSI,Timestamp
-50,14:25:16.014330
RSSI,Timestamp
-49,14:25:16.022053
RSSI,Timestamp
-48,14:25:16.027164
RSSI,Timestamp
-43,14:25:16.032175
RSSI,Timestamp
-45,14:25:16.038519
RSSI,Timestamp
-51,14:25:16.044203
RSSI,Timestamp
-50,14:25:16.048860
RSSI,Timestamp
-50,14:25:16.053476
RSSI,Timestamp
-48,14:25:16.057837
RSSI,Timestamp
-46,14:25:16.062999
RSSI,Timestamp
-52,14:25:16.066955
RSSI,Timestamp
-44,14:25:16.071195
RSSI,Timestamp
-51,14:25:16.075264
RSSI,Timestamp
-49,14:25:16.079229
RSSI,Timestamp
-49,14:25:16.085009
RSSI,Timestamp
-38,14:25:16.089989
RSSI,Timestamp
-32,14:25:16.095498
RSSI,Timestamp
-47,14:25:16.101425
RSSI,Timestamp
-46,14:25:16.107949
RSSI,Timestamp
-46,14:25:16.114507
RSSI,Timestamp
-50,14:25:16.120926
RSSI,Timestamp
-52,14:25:16.126656
RSSI,Timestamp
-36,14:25:16.144992
RSSI,Timestamp
-38,14:25:16.158553
RSSI,Timestamp
-36,14:25:16.166784
RSSI,Timestamp
-46,14:25:16.171471
RSSI,Timestamp
-45,14:25:16.176035
RSSI,Timestamp
-48,14:25:16.180642
RSSI,Timestamp
-54,14:25:16.185031
RSSI,Timestamp
-48,14:25:16.189223
RSSI,Timestamp
-46,14:25:16.193451
RSSI,Timestamp
-49,14:25:16.197825
RSSI,Timestamp
-47,14:25:16.202208
RSSI,Timestamp
-46,14:25:16.206209
RSSI,Timestamp
-49,14:25:16.210187
RSSI,Timestamp
-49,14:25:16.215218
RSSI,Timestamp
-45,14:25:16.221273
RSSI,Timestamp
-46,14:25:16.226711
RSSI,Timestamp
-48,14:25:16.231465
RSSI,Timestamp
-55,14:25:16.236530
RSSI,Timestamp
-48,14:25:16.242045
RSSI,Timestamp
-50,14:25:16.249054
RSSI,Timestamp
-42,14:25:16.254179
RSSI,Timestamp
-52,14:25:16.259886
RSSI,Timestamp
-34,14:25:16.273609
RSSI,Timestamp
-36,14:25:16.284764
RSSI,Timestamp
-36,14:25:16.292989
RSSI,Timestamp
-48,14:25:16.297050
RSSI,Timestamp
-51,14:25:16.300946
RSSI,Timestamp
-49,14:25:16.305321
RSSI,Timestamp
-49,14:25:16.309584
RSSI,Timestamp
-48,14:25:16.314308
RSSI,Timestamp
-48,14:25:16.318334
RSSI,Timestamp
-49,14:25:16.322163
RSSI,Timestamp
-50,14:25:16.329358
RSSI,Timestamp
-49,14:25:16.334777
RSSI,Timestamp
-47,14:25:16.339658
RSSI,Timestamp
-43,14:25:16.344883
RSSI,Timestamp
-47,14:25:16.350851
RSSI,Timestamp
-46,14:25:16.355933
RSSI,Timestamp
-48,14:25:16.360931
RSSI,Timestamp
-49,14:25:16.369276
RSSI,Timestamp
-65,14:25:16.373703
RSSI,Timestamp
-46,14:25:16.377668
RSSI,Timestamp
-46,14:25:16.382245
RSSI,Timestamp
-46,14:25:16.386549
RSSI,Timestamp
-49,14:25:16.390732
RSSI,Timestamp
-49,14:25:16.395801
RSSI,Timestamp
-45,14:25:16.400757
RSSI,Timestamp
-46,14:25:16.404954
RSSI,Timestamp
-47,14:25:16.410270
RSSI,Timestamp
-56,14:25:16.416597
RSSI,Timestamp
-46,14:25:16.421594
RSSI,Timestamp
-46,14:25:16.426026
RSSI,Timestamp
-46,14:25:16.430271
RSSI,Timestamp
-46,14:25:16.434561
RSSI,Timestamp
-46,14:25:16.438454
RSSI,Timestamp
-50,14:25:16.442407
RSSI,Timestamp
-49,14:25:16.446823
RSSI,Timestamp
-36,14:25:16.463589
RSSI,Timestamp
-36,14:25:16.481697
RSSI,Timestamp
-36,14:25:16.492208
RSSI,Timestamp
-45,14:25:16.499143
RSSI,Timestamp
-46,14:25:16.503699
RSSI,Timestamp
-51,14:25:16.508124
RSSI,Timestamp
-48,14:25:16.512378
RSSI,Timestamp
-47,14:25:16.517243
RSSI,Timestamp
-46,14:25:16.521519
RSSI,Timestamp
-47,14:25:16.525823
RSSI,Timestamp
-38,14:25:16.529839
RSSI,Timestamp
-56,14:25:16.534109
RSSI,Timestamp
-48,14:25:16.538427
RSSI,Timestamp
-46,14:25:16.543782
RSSI,Timestamp
-49,14:25:16.548951
RSSI,Timestamp
-48,14:25:16.555164
RSSI,Timestamp
-50,14:25:16.561229
RSSI,Timestamp
-50,14:25:16.569760
RSSI,Timestamp
-45,14:25:16.575127
RSSI,Timestamp
-45,14:25:16.580155
RSSI,Timestamp
-45,14:25:16.585117
RSSI,Timestamp
-45,14:25:16.590802
RSSI,Timestamp
-47,14:25:16.595468
RSSI,Timestamp
-46,14:25:16.599703
RSSI,Timestamp
-45,14:25:16.603632
RSSI,Timestamp
-49,14:25:16.607621
RSSI,Timestamp
-51,14:25:16.611991
RSSI,Timestamp
-46,14:25:16.616624
RSSI,Timestamp
-45,14:25:16.621256
RSSI,Timestamp
-42,14:25:16.625285
RSSI,Timestamp
-46,14:25:16.629613
RSSI,Timestamp
-45,14:25:16.635693
RSSI,Timestamp
-45,14:25:16.640419
RSSI,Timestamp
-52,14:25:16.645209
RSSI,Timestamp
-49,14:25:16.651688
RSSI,Timestamp
-48,14:25:16.657957
RSSI,Timestamp
-47,14:25:16.664564
RSSI,Timestamp
-48,14:25:16.671684
RSSI,Timestamp
-45,14:25:16.677195
RSSI,Timestamp
-46,14:25:16.681690
RSSI,Timestamp
-49,14:25:16.687295
RSSI,Timestamp
-49,14:25:16.693589
RSSI,Timestamp
-36,14:25:16.703329
RSSI,Timestamp
-52,14:25:16.707782
RSSI,Timestamp
-46,14:25:16.712159
RSSI,Timestamp
-47,14:25:16.716441
RSSI,Timestamp
-46,14:25:16.721108
RSSI,Timestamp
-50,14:25:16.725228
RSSI,Timestamp
-45,14:25:16.729136
RSSI,Timestamp
-48,14:25:16.734672
RSSI,Timestamp
-49,14:25:16.740494
RSSI,Timestamp
-42,14:25:16.745738
RSSI,Timestamp
-54,14:25:16.751165
RSSI,Timestamp
-46,14:25:16.759921
RSSI,Timestamp
-46,14:25:16.766837
RSSI,Timestamp
-46,14:25:16.775977
RSSI,Timestamp
-45,14:25:16.781510
RSSI,Timestamp
-47,14:25:16.787806
RSSI,Timestamp
-58,14:25:16.794230
RSSI,Timestamp
-47,14:25:16.800865
RSSI,Timestamp
-46,14:25:16.806925
RSSI,Timestamp
-49,14:25:16.812216
RSSI,Timestamp
-47,14:25:16.816697
RSSI,Timestamp
-46,14:25:16.821470
RSSI,Timestamp
-46,14:25:16.825790
RSSI,Timestamp
-48,14:25:16.830040
RSSI,Timestamp
-41,14:25:16.835173
RSSI,Timestamp
-48,14:25:16.839374
RSSI,Timestamp
-47,14:25:16.843286
RSSI,Timestamp
-55,14:25:16.847632
RSSI,Timestamp
-47,14:25:16.853282
RSSI,Timestamp
-46,14:25:16.858452
RSSI,Timestamp
-51,14:25:16.863535
RSSI,Timestamp
-50,14:25:16.869519
RSSI,Timestamp
-36,14:25:16.887023
RSSI,Timestamp
-36,14:25:16.907336
RSSI,Timestamp
-36,14:25:16.919476
RSSI,Timestamp
-36,14:25:16.925751
RSSI,Timestamp
-47,14:25:16.930773
RSSI,Timestamp
-50,14:25:16.936461
RSSI,Timestamp
-50,14:25:16.941722
RSSI,Timestamp
-48,14:25:16.947527
RSSI,Timestamp
-49,14:25:16.952802
RSSI,Timestamp
-47,14:25:16.959268
RSSI,Timestamp
-54,14:25:16.963643
RSSI,Timestamp
-46,14:25:16.967885
RSSI,Timestamp
-46,14:25:16.973276
RSSI,Timestamp
-46,14:25:16.977786
RSSI,Timestamp
-46,14:25:16.981916
RSSI,Timestamp
-50,14:25:16.985955
RSSI,Timestamp
-47,14:25:16.990196
RSSI,Timestamp
-55,14:25:16.994637
RSSI,Timestamp
-46,14:25:16.998854
RSSI,Timestamp
-46,14:25:17.003183
RSSI,Timestamp
-37,14:25:17.007247
RSSI,Timestamp
-47,14:25:17.011541
RSSI,Timestamp
-42,14:25:17.016645
RSSI,Timestamp
-46,14:25:17.024061
RSSI,Timestamp
-51,14:25:17.028448
RSSI,Timestamp
-45,14:25:17.032530
RSSI,Timestamp
-49,14:25:17.036750
RSSI,Timestamp
-36,14:25:17.044748
RSSI,Timestamp
-45,14:25:17.051805
RSSI,Timestamp
-46,14:25:17.059336
RSSI,Timestamp
-46,14:25:17.066557
RSSI,Timestamp
-49,14:25:17.073075
RSSI,Timestamp
-46,14:25:17.080238
RSSI,Timestamp
-41,14:25:17.086279
RSSI,Timestamp
-43,14:25:17.090435
RSSI,Timestamp
-47,14:25:17.094577
RSSI,Timestamp
-42,14:25:17.098521
RSSI,Timestamp
-42,14:25:17.102495
RSSI,Timestamp
-45,14:25:17.108847
RSSI,Timestamp
-52,14:25:17.113784
RSSI,Timestamp
-46,14:25:17.118218
RSSI,Timestamp
-36,14:25:17.135607
RSSI,Timestamp
-36,14:25:17.141685
RSSI,Timestamp
-50,14:25:17.147639
RSSI,Timestamp
-37,14:25:17.151983
RSSI,Timestamp
-49,14:25:17.156342
RSSI,Timestamp
-50,14:25:17.162386
RSSI,Timestamp
-22,14:25:17.168280
RSSI,Timestamp
-36,14:25:17.172607
RSSI,Timestamp
-51,14:25:17.177485
RSSI,Timestamp
-42,14:25:17.182265
RSSI,Timestamp
-69,14:25:17.187057
RSSI,Timestamp
-56,14:25:17.192051
RSSI,Timestamp
-50,14:25:17.197376
RSSI,Timestamp
-49,14:25:17.206823
RSSI,Timestamp
-36,14:25:17.232679
RSSI,Timestamp
-36,14:25:17.247833
RSSI,Timestamp
-38,14:25:17.258372
RSSI,Timestamp
-24,14:25:17.262883
RSSI,Timestamp
-36,14:25:17.267368
RSSI,Timestamp
-58,14:25:17.271897
RSSI,Timestamp
-57,14:25:17.276996
RSSI,Timestamp
-51,14:25:17.281232
RSSI,Timestamp
-48,14:25:17.285688
RSSI,Timestamp
-52,14:25:17.289929
RSSI,Timestamp
-26,14:25:17.293902
RSSI,Timestamp
-36,14:25:17.299949
RSSI,Timestamp
-49,14:25:17.306119
RSSI,Timestamp
-48,14:25:17.311588
RSSI,Timestamp
-48,14:25:17.318107
RSSI,Timestamp
-48,14:25:17.323736
RSSI,Timestamp
-52,14:25:17.327620
RSSI,Timestamp
-48,14:25:17.331776
RSSI,Timestamp
-47,14:25:17.337688
RSSI,Timestamp
-57,14:25:17.343371
RSSI,Timestamp
-52,14:25:17.348947
RSSI,Timestamp
-54,14:25:17.353933
RSSI,Timestamp
-51,14:25:17.360233
RSSI,Timestamp
-47,14:25:17.366636
RSSI,Timestamp
-36,14:25:17.380671
RSSI,Timestamp
-36,14:25:17.385651
RSSI,Timestamp
-64,14:25:17.392126
RSSI,Timestamp
-58,14:25:17.397037
RSSI,Timestamp
-53,14:25:17.401398
RSSI,Timestamp
-47,14:25:17.406028
RSSI,Timestamp
-48,14:25:17.411009
RSSI,Timestamp
-45,14:25:17.416698
RSSI,Timestamp
-50,14:25:17.422058
RSSI,Timestamp
-49,14:25:17.427303
RSSI,Timestamp
-49,14:25:17.432760
RSSI,Timestamp
-49,14:25:17.438622
RSSI,Timestamp
-49,14:25:17.443587
RSSI,Timestamp
-51,14:25:17.449112
RSSI,Timestamp
-50,14:25:17.455193
RSSI,Timestamp
-44,14:25:17.459487
RSSI,Timestamp
-36,14:25:17.471033
RSSI,Timestamp
-49,14:25:17.475474
RSSI,Timestamp
-49,14:25:17.481343
RSSI,Timestamp
-44,14:25:17.486164
RSSI,Timestamp
-56,14:25:17.491866
RSSI,Timestamp
-49,14:25:17.496129
RSSI,Timestamp
-51,14:25:17.501106
RSSI,Timestamp
-49,14:25:17.506174
RSSI,Timestamp
-49,14:25:17.512224
RSSI,Timestamp
-49,14:25:17.517902
RSSI,Timestamp
-47,14:25:17.525307
RSSI,Timestamp
-47,14:25:17.531323
RSSI,Timestamp
-47,14:25:17.537879
RSSI,Timestamp
-48,14:25:17.544460
RSSI,Timestamp
-48,14:25:17.552005
RSSI,Timestamp
-38,14:25:17.561908
RSSI,Timestamp
-36,14:25:17.577581
RSSI,Timestamp
-34,14:25:17.590116
RSSI,Timestamp
-46,14:25:17.594574
RSSI,Timestamp
-46,14:25:17.598448
RSSI,Timestamp
-50,14:25:17.602356
RSSI,Timestamp
-50,14:25:17.606694
RSSI,Timestamp
-40,14:25:17.611010
RSSI,Timestamp
-38,14:25:17.620055
RSSI,Timestamp
-46,14:25:17.625179
RSSI,Timestamp
-49,14:25:17.630584
RSSI,Timestamp
-47,14:25:17.636828
RSSI,Timestamp
-46,14:25:17.644039
RSSI,Timestamp
-46,14:25:17.651041
RSSI,Timestamp
-46,14:25:17.656324
RSSI,Timestamp
-34,14:25:17.673910
RSSI,Timestamp
-41,14:25:17.678520
RSSI,Timestamp
-36,14:25:17.689736
RSSI,Timestamp
-36,14:25:17.701364
RSSI,Timestamp
-49,14:25:17.705498
RSSI,Timestamp
-34,14:25:17.716819
RSSI,Timestamp
-46,14:25:17.721204
RSSI,Timestamp
-63,14:25:17.726477
RSSI,Timestamp
-34,14:25:17.741754
RSSI,Timestamp
